Numero di conferimento;Data del prelievo;Data di conferimento/accettazione;Data di registrazione;Data Carico Analisi;Data Inizio Analisi;Data Fine Analisi;Data ultimo Rdp emesso;Nr. di campioni accettati;Totale esami eseguiti;Anno di accettazione;Trimestre di registrazione;Mese di registrazione;Anno di registrazione;Trimestre di accettazione;Mese di accettazione;Anno di prelievo;Trimestre di prelievo;Mese di prelievo
133385;28/05/2009 00.00.00;28/05/2009 00.00.00;28/05/2009 00.00.00;;03/06/2009 00.00.00;04/06/2009 00.00.00;04/06/2009 00.00.00;1;1;2009;2;5;2009;2;5;2009;2;5
133389;28/05/2009 00.00.00;28/05/2009 00.00.00;28/05/2009 00.00.00;;03/06/2009 00.00.00;04/06/2009 00.00.00;04/06/2009 00.00.00;2;2;2009;2;5;2009;2;5;2009;2;5
134768;28/05/2009 00.00.00;29/05/2009 00.00.00;29/05/2009 00.00.00;;03/06/2009 00.00.00;04/06/2009 00.00.00;05/06/2009 00.00.00;1;1;2009;2;5;2009;2;5;2009;2;5
134771;28/05/2009 00.00.00;29/05/2009 00.00.00;29/05/2009 00.00.00;;03/06/2009 00.00.00;04/06/2009 00.00.00;05/06/2009 00.00.00;1;1;2009;2;5;2009;2;5;2009;2;5
134774;29/05/2009 00.00.00;29/05/2009 00.00.00;29/05/2009 00.00.00;;03/06/2009 00.00.00;04/06/2009 00.00.00;05/06/2009 00.00.00;1;1;2009;2;5;2009;2;5;2009;2;5
134776;29/05/2009 00.00.00;29/05/2009 00.00.00;29/05/2009 00.00.00;;03/06/2009 00.00.00;04/06/2009 00.00.00;05/06/2009 00.00.00;3;3;2009;2;5;2009;2;5;2009;2;5
136534;01/06/2009 00.00.00;03/06/2009 00.00.00;03/06/2009 00.00.00;;09/06/2009 00.00.00;09/06/2009 00.00.00;10/06/2009 00.00.00;2;2;2009;2;6;2009;2;6;2009;2;6
136538;28/05/2009 00.00.00;03/06/2009 00.00.00;03/06/2009 00.00.00;;09/06/2009 00.00.00;09/06/2009 00.00.00;10/06/2009 00.00.00;1;1;2009;2;6;2009;2;6;2009;2;5
136541;01/06/2009 00.00.00;03/06/2009 00.00.00;03/06/2009 00.00.00;;09/06/2009 00.00.00;09/06/2009 00.00.00;10/06/2009 00.00.00;1;1;2009;2;6;2009;2;6;2009;2;6
136543;01/06/2009 00.00.00;03/06/2009 00.00.00;03/06/2009 00.00.00;;09/06/2009 00.00.00;09/06/2009 00.00.00;10/06/2009 00.00.00;1;1;2009;2;6;2009;2;6;2009;2;6
136546;01/06/2009 00.00.00;03/06/2009 00.00.00;03/06/2009 00.00.00;;09/06/2009 00.00.00;09/06/2009 00.00.00;10/06/2009 00.00.00;3;3;2009;2;6;2009;2;6;2009;2;6
136596;01/06/2009 00.00.00;03/06/2009 00.00.00;03/06/2009 00.00.00;;09/06/2009 00.00.00;09/06/2009 00.00.00;10/06/2009 00.00.00;1;1;2009;2;6;2009;2;6;2009;2;6
136599;01/06/2009 00.00.00;03/06/2009 00.00.00;03/06/2009 00.00.00;;09/06/2009 00.00.00;09/06/2009 00.00.00;10/06/2009 00.00.00;1;1;2009;2;6;2009;2;6;2009;2;6
136691;29/05/2009 00.00.00;03/06/2009 00.00.00;03/06/2009 00.00.00;;09/06/2009 00.00.00;09/06/2009 00.00.00;10/06/2009 00.00.00;3;3;2009;2;6;2009;2;6;2009;2;5
137102;03/06/2009 00.00.00;03/06/2009 00.00.00;04/06/2009 00.00.00;;09/06/2009 00.00.00;09/06/2009 00.00.00;10/06/2009 00.00.00;3;3;2009;2;6;2009;2;6;2009;2;6
137105;29/05/2009 00.00.00;03/06/2009 00.00.00;04/06/2009 00.00.00;;09/06/2009 00.00.00;09/06/2009 00.00.00;10/06/2009 00.00.00;1;1;2009;2;6;2009;2;6;2009;2;5
137107;03/06/2009 00.00.00;03/06/2009 00.00.00;04/06/2009 00.00.00;;09/06/2009 00.00.00;09/06/2009 00.00.00;10/06/2009 00.00.00;2;2;2009;2;6;2009;2;6;2009;2;6
137108;03/06/2009 00.00.00;03/06/2009 00.00.00;04/06/2009 00.00.00;;09/06/2009 00.00.00;09/06/2009 00.00.00;10/06/2009 00.00.00;1;1;2009;2;6;2009;2;6;2009;2;6
138665;04/06/2009 00.00.00;05/06/2009 00.00.00;05/06/2009 00.00.00;;09/06/2009 00.00.00;09/06/2009 00.00.00;11/06/2009 00.00.00;1;1;2009;2;6;2009;2;6;2009;2;6
138668;04/06/2009 00.00.00;05/06/2009 00.00.00;05/06/2009 00.00.00;;09/06/2009 00.00.00;09/06/2009 00.00.00;11/06/2009 00.00.00;1;1;2009;2;6;2009;2;6;2009;2;6
196132;10/08/2010 00.00.00;11/08/2010 00.00.00;12/08/2010 00.00.00;;17/08/2010 00.00.00;17/08/2010 00.00.00;17/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
196134;10/08/2010 00.00.00;11/08/2010 00.00.00;12/08/2010 00.00.00;;17/08/2010 00.00.00;17/08/2010 00.00.00;17/08/2010 00.00.00;3;3;2010;3;8;2010;3;8;2010;3;8
196135;10/08/2010 00.00.00;11/08/2010 00.00.00;12/08/2010 00.00.00;;17/08/2010 00.00.00;17/08/2010 00.00.00;18/08/2010 00.00.00;7;7;2010;3;8;2010;3;8;2010;3;8
196139;10/08/2010 00.00.00;11/08/2010 00.00.00;12/08/2010 00.00.00;;17/08/2010 00.00.00;17/08/2010 00.00.00;17/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
