Numero di conferimento;Data del prelievo;Data di conferimento/accettazione;Data di registrazione;Data Carico Analisi;Data Inizio Analisi;Data Fine Analisi;Data ultimo Rdp emesso;Nr. di campioni accettati;Totale esami eseguiti;Anno di accettazione;Trimestre di registrazione;Mese di registrazione;Anno di registrazione;Trimestre di accettazione;Mese di accettazione;Anno di prelievo;Trimestre di prelievo;Mese di prelievo
196259;09/08/2010 00.00.00;12/08/2010 00.00.00;12/08/2010 00.00.00;;17/08/2010 00.00.00;17/08/2010 00.00.00;17/08/2010 00.00.00;6;6;2010;3;8;2010;3;8;2010;3;8
412;30/12/2008 00.00.00;02/01/2009 00.00.00;02/01/2009 00.00.00;;08/01/2009 00.00.00;08/01/2009 00.00.00;09/01/2009 00.00.00;2;2;2009;1;1;2009;1;1;2008;4;12
415;30/12/2008 00.00.00;02/01/2009 00.00.00;02/01/2009 00.00.00;;08/01/2009 00.00.00;08/01/2009 00.00.00;09/01/2009 00.00.00;1;1;2009;1;1;2009;1;1;2008;4;12
417;31/12/2008 00.00.00;02/01/2009 00.00.00;02/01/2009 00.00.00;;08/01/2009 00.00.00;08/01/2009 00.00.00;09/01/2009 00.00.00;2;2;2009;1;1;2009;1;1;2008;4;12
2437;05/01/2009 00.00.00;07/01/2009 00.00.00;08/01/2009 00.00.00;;13/01/2009 00.00.00;13/01/2009 00.00.00;13/01/2009 00.00.00;1;1;2009;1;1;2009;1;1;2009;1;1
2439;05/01/2009 00.00.00;07/01/2009 00.00.00;08/01/2009 00.00.00;;13/01/2009 00.00.00;13/01/2009 00.00.00;13/01/2009 00.00.00;1;1;2009;1;1;2009;1;1;2009;1;1
2451;05/01/2009 00.00.00;07/01/2009 00.00.00;08/01/2009 00.00.00;;13/01/2009 00.00.00;13/01/2009 00.00.00;13/01/2009 00.00.00;6;6;2009;1;1;2009;1;1;2009;1;1
2453;05/01/2009 00.00.00;07/01/2009 00.00.00;08/01/2009 00.00.00;;13/01/2009 00.00.00;13/01/2009 00.00.00;13/01/2009 00.00.00;1;1;2009;1;1;2009;1;1;2009;1;1
3106;02/01/2009 00.00.00;08/01/2009 00.00.00;08/01/2009 00.00.00;;13/01/2009 00.00.00;13/01/2009 00.00.00;13/01/2009 00.00.00;1;1;2009;1;1;2009;1;1;2009;1;1
197523;11/08/2010 00.00.00;13/08/2010 00.00.00;16/08/2010 00.00.00;;17/08/2010 00.00.00;17/08/2010 00.00.00;19/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
197524;11/08/2010 00.00.00;13/08/2010 00.00.00;16/08/2010 00.00.00;;17/08/2010 00.00.00;17/08/2010 00.00.00;19/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
197527;10/08/2010 00.00.00;13/08/2010 00.00.00;16/08/2010 00.00.00;;17/08/2010 00.00.00;17/08/2010 00.00.00;19/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
197532;11/08/2010 00.00.00;13/08/2010 00.00.00;16/08/2010 00.00.00;;17/08/2010 00.00.00;17/08/2010 00.00.00;19/08/2010 00.00.00;19;19;2010;3;8;2010;3;8;2010;3;8
197534;12/08/2010 00.00.00;13/08/2010 00.00.00;16/08/2010 00.00.00;;17/08/2010 00.00.00;17/08/2010 00.00.00;19/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
197537;11/08/2010 00.00.00;13/08/2010 00.00.00;16/08/2010 00.00.00;;17/08/2010 00.00.00;17/08/2010 00.00.00;19/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
198086;16/08/2010 00.00.00;16/08/2010 00.00.00;16/08/2010 00.00.00;;19/08/2010 00.00.00;19/08/2010 00.00.00;23/08/2010 00.00.00;2;2;2010;3;8;2010;3;8;2010;3;8
198314;13/08/2010 00.00.00;17/08/2010 00.00.00;17/08/2010 00.00.00;;19/08/2010 00.00.00;19/08/2010 00.00.00;23/08/2010 00.00.00;3;3;2010;3;8;2010;3;8;2010;3;8
198336;16/08/2010 00.00.00;17/08/2010 00.00.00;17/08/2010 00.00.00;;19/08/2010 00.00.00;19/08/2010 00.00.00;23/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
198348;16/08/2010 00.00.00;17/08/2010 00.00.00;17/08/2010 00.00.00;;19/08/2010 00.00.00;19/08/2010 00.00.00;23/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
198351;16/08/2010 00.00.00;17/08/2010 00.00.00;17/08/2010 00.00.00;;19/08/2010 00.00.00;19/08/2010 00.00.00;23/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
198360;16/08/2010 00.00.00;17/08/2010 00.00.00;17/08/2010 00.00.00;;19/08/2010 00.00.00;19/08/2010 00.00.00;23/08/2010 00.00.00;4;4;2010;3;8;2010;3;8;2010;3;8
198976;16/08/2010 00.00.00;17/08/2010 00.00.00;17/08/2010 00.00.00;;19/08/2010 00.00.00;19/08/2010 00.00.00;23/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
198982;16/08/2010 00.00.00;17/08/2010 00.00.00;17/08/2010 00.00.00;;19/08/2010 00.00.00;19/08/2010 00.00.00;23/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
198986;13/08/2010 00.00.00;17/08/2010 00.00.00;17/08/2010 00.00.00;;19/08/2010 00.00.00;19/08/2010 00.00.00;23/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
198988;16/08/2010 00.00.00;17/08/2010 00.00.00;17/08/2010 00.00.00;;19/08/2010 00.00.00;19/08/2010 00.00.00;24/08/2010 00.00.00;2;2;2010;3;8;2010;3;8;2010;3;8
200036;17/08/2010 00.00.00;18/08/2010 00.00.00;19/08/2010 00.00.00;;23/08/2010 00.00.00;23/08/2010 00.00.00;24/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
200057;17/08/2010 00.00.00;18/08/2010 00.00.00;19/08/2010 00.00.00;;23/08/2010 00.00.00;23/08/2010 00.00.00;24/08/2010 00.00.00;3;3;2010;3;8;2010;3;8;2010;3;8
200074;17/08/2010 00.00.00;18/08/2010 00.00.00;19/08/2010 00.00.00;;23/08/2010 00.00.00;23/08/2010 00.00.00;24/08/2010 00.00.00;2;2;2010;3;8;2010;3;8;2010;3;8
4825;09/01/2009 00.00.00;09/01/2009 00.00.00;12/01/2009 00.00.00;;13/01/2009 00.00.00;13/01/2009 00.00.00;16/01/2009 00.00.00;1;1;2009;1;1;2009;1;1;2009;1;1
4826;09/01/2009 00.00.00;09/01/2009 00.00.00;12/01/2009 00.00.00;;13/01/2009 00.00.00;13/01/2009 00.00.00;16/01/2009 00.00.00;6;6;2009;1;1;2009;1;1;2009;1;1
4827;05/01/2009 00.00.00;09/01/2009 00.00.00;12/01/2009 00.00.00;;13/01/2009 00.00.00;13/01/2009 00.00.00;16/01/2009 00.00.00;2;2;2009;1;1;2009;1;1;2009;1;1
4828;08/01/2009 00.00.00;09/01/2009 00.00.00;12/01/2009 00.00.00;;13/01/2009 00.00.00;13/01/2009 00.00.00;16/01/2009 00.00.00;1;1;2009;1;1;2009;1;1;2009;1;1
4830;08/01/2009 00.00.00;09/01/2009 00.00.00;12/01/2009 00.00.00;;13/01/2009 00.00.00;13/01/2009 00.00.00;16/01/2009 00.00.00;1;1;2009;1;1;2009;1;1;2009;1;1
4831;08/01/2009 00.00.00;09/01/2009 00.00.00;12/01/2009 00.00.00;;13/01/2009 00.00.00;13/01/2009 00.00.00;16/01/2009 00.00.00;1;1;2009;1;1;2009;1;1;2009;1;1
4833;09/01/2009 00.00.00;10/01/2009 00.00.00;12/01/2009 00.00.00;;13/01/2009 00.00.00;13/01/2009 00.00.00;16/01/2009 00.00.00;2;2;2009;1;1;2009;1;1;2009;1;1
200853;17/08/2010 00.00.00;19/08/2010 00.00.00;20/08/2010 00.00.00;;23/08/2010 00.00.00;23/08/2010 00.00.00;24/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
201023;17/08/2010 00.00.00;18/08/2010 00.00.00;20/08/2010 00.00.00;;23/08/2010 00.00.00;23/08/2010 00.00.00;24/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
201358;20/08/2010 00.00.00;20/08/2010 00.00.00;20/08/2010 00.00.00;;23/08/2010 00.00.00;23/08/2010 00.00.00;24/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
201361;18/08/2010 00.00.00;20/08/2010 00.00.00;20/08/2010 00.00.00;;23/08/2010 00.00.00;23/08/2010 00.00.00;24/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
201369;18/08/2010 00.00.00;20/08/2010 00.00.00;20/08/2010 00.00.00;;23/08/2010 00.00.00;23/08/2010 00.00.00;24/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
201376;17/08/2010 00.00.00;20/08/2010 00.00.00;20/08/2010 00.00.00;;23/08/2010 00.00.00;23/08/2010 00.00.00;25/08/2010 00.00.00;4;3;2010;3;8;2010;3;8;2010;3;8
203988;20/08/2010 00.00.00;24/08/2010 00.00.00;25/08/2010 00.00.00;;27/08/2010 00.00.00;27/08/2010 00.00.00;31/08/2010 00.00.00;45;45;2010;3;8;2010;3;8;2010;3;8
203990;20/08/2010 00.00.00;24/08/2010 00.00.00;25/08/2010 00.00.00;;27/08/2010 00.00.00;27/08/2010 00.00.00;31/08/2010 00.00.00;3;3;2010;3;8;2010;3;8;2010;3;8
203992;20/08/2010 00.00.00;24/08/2010 00.00.00;25/08/2010 00.00.00;;27/08/2010 00.00.00;27/08/2010 00.00.00;31/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
203996;23/08/2010 00.00.00;24/08/2010 00.00.00;25/08/2010 00.00.00;;27/08/2010 00.00.00;27/08/2010 00.00.00;31/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
203998;20/08/2010 00.00.00;24/08/2010 00.00.00;25/08/2010 00.00.00;;27/08/2010 00.00.00;27/08/2010 00.00.00;31/08/2010 00.00.00;4;4;2010;3;8;2010;3;8;2010;3;8
203999;23/08/2010 00.00.00;24/08/2010 00.00.00;25/08/2010 00.00.00;;27/08/2010 00.00.00;27/08/2010 00.00.00;01/09/2010 00.00.00;14;14;2010;3;8;2010;3;8;2010;3;8
204029;23/08/2010 00.00.00;24/08/2010 00.00.00;25/08/2010 00.00.00;;27/08/2010 00.00.00;27/08/2010 00.00.00;31/08/2010 00.00.00;25;25;2010;3;8;2010;3;8;2010;3;8
204034;23/08/2010 00.00.00;24/08/2010 00.00.00;25/08/2010 00.00.00;;27/08/2010 00.00.00;27/08/2010 00.00.00;31/08/2010 00.00.00;31;31;2010;3;8;2010;3;8;2010;3;8
204471;24/08/2010 00.00.00;25/08/2010 00.00.00;25/08/2010 00.00.00;;27/08/2010 00.00.00;27/08/2010 00.00.00;31/08/2010 00.00.00;6;6;2010;3;8;2010;3;8;2010;3;8
204477;24/08/2010 00.00.00;25/08/2010 00.00.00;25/08/2010 00.00.00;;27/08/2010 00.00.00;27/08/2010 00.00.00;31/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
204478;23/08/2010 00.00.00;25/08/2010 00.00.00;25/08/2010 00.00.00;;27/08/2010 00.00.00;27/08/2010 00.00.00;31/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
205975;26/08/2010 00.00.00;27/08/2010 00.00.00;27/08/2010 00.00.00;;27/08/2010 00.00.00;27/08/2010 00.00.00;01/09/2010 00.00.00;3;3;2010;3;8;2010;3;8;2010;3;8
205979;26/08/2010 00.00.00;27/08/2010 00.00.00;27/08/2010 00.00.00;;27/08/2010 00.00.00;27/08/2010 00.00.00;01/09/2010 00.00.00;5;5;2010;3;8;2010;3;8;2010;3;8
205980;26/08/2010 00.00.00;27/08/2010 00.00.00;27/08/2010 00.00.00;;27/08/2010 00.00.00;27/08/2010 00.00.00;31/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
206141;27/08/2010 00.00.00;27/08/2010 00.00.00;27/08/2010 00.00.00;;27/08/2010 00.00.00;27/08/2010 00.00.00;31/08/2010 00.00.00;10;10;2010;3;8;2010;3;8;2010;3;8
206166;27/08/2010 00.00.00;27/08/2010 00.00.00;27/08/2010 00.00.00;;27/08/2010 00.00.00;27/08/2010 00.00.00;31/08/2010 00.00.00;2;2;2010;3;8;2010;3;8;2010;3;8
206228;27/08/2010 00.00.00;27/08/2010 00.00.00;27/08/2010 00.00.00;;30/08/2010 00.00.00;30/08/2010 00.00.00;31/08/2010 00.00.00;1;1;2010;3;8;2010;3;8;2010;3;8
6592;12/01/2009 00.00.00;13/01/2009 00.00.00;13/01/2009 00.00.00;;15/01/2009 00.00.00;15/01/2009 00.00.00;19/01/2009 00.00.00;2;2;2009;1;1;2009;1;1;2009;1;1
6593;09/01/2009 00.00.00;13/01/2009 00.00.00;13/01/2009 00.00.00;;15/01/2009 00.00.00;15/01/2009 00.00.00;19/01/2009 00.00.00;1;1;2009;1;1;2009;1;1;2009;1;1
6596;12/01/2009 00.00.00;13/01/2009 00.00.00;13/01/2009 00.00.00;;15/01/2009 00.00.00;15/01/2009 00.00.00;19/01/2009 00.00.00;1;1;2009;1;1;2009;1;1;2009;1;1
6597;12/01/2009 00.00.00;13/01/2009 00.00.00;13/01/2009 00.00.00;;15/01/2009 00.00.00;15/01/2009 00.00.00;19/01/2009 00.00.00;2;2;2009;1;1;2009;1;1;2009;1;1
6601;12/01/2009 00.00.00;13/01/2009 00.00.00;13/01/2009 00.00.00;;15/01/2009 00.00.00;15/01/2009 00.00.00;19/01/2009 00.00.00;7;7;2009;1;1;2009;1;1;2009;1;1
6602;12/01/2009 00.00.00;13/01/2009 00.00.00;13/01/2009 00.00.00;;15/01/2009 00.00.00;15/01/2009 00.00.00;19/01/2009 00.00.00;1;1;2009;1;1;2009;1;1;2009;1;1
6604;13/01/2009 00.00.00;13/01/2009 00.00.00;13/01/2009 00.00.00;;15/01/2009 00.00.00;15/01/2009 00.00.00;19/01/2009 00.00.00;9;9;2009;1;1;2009;1;1;2009;1;1
6608;12/01/2009 00.00.00;13/01/2009 00.00.00;13/01/2009 00.00.00;;15/01/2009 00.00.00;15/01/2009 00.00.00;19/01/2009 00.00.00;1;1;2009;1;1;2009;1;1;2009;1;1
6610;09/01/2009 00.00.00;13/01/2009 00.00.00;13/01/2009 00.00.00;;15/01/2009 00.00.00;15/01/2009 00.00.00;19/01/2009 00.00.00;2;2;2009;1;1;2009;1;1;2009;1;1
6611;12/01/2009 00.00.00;13/01/2009 00.00.00;13/01/2009 00.00.00;;15/01/2009 00.00.00;15/01/2009 00.00.00;19/01/2009 00.00.00;1;1;2009;1;1;2009;1;1;2009;1;1
6613;12/01/2009 00.00.00;13/01/2009 00.00.00;13/01/2009 00.00.00;;15/01/2009 00.00.00;15/01/2009 00.00.00;19/01/2009 00.00.00;3;3;2009;1;1;2009;1;1;2009;1;1
6668;13/01/2009 00.00.00;13/01/2009 00.00.00;13/01/2009 00.00.00;;15/01/2009 00.00.00;15/01/2009 00.00.00;19/01/2009 00.00.00;3;3;2009;1;1;2009;1;1;2009;1;1
8791;09/01/2009 00.00.00;14/01/2009 00.00.00;15/01/2009 00.00.00;;20/01/2009 00.00.00;20/01/2009 00.00.00;21/01/2009 00.00.00;5;5;2009;1;1;2009;1;1;2009;1;1
8794;09/01/2009 00.00.00;14/01/2009 00.00.00;15/01/2009 00.00.00;;20/01/2009 00.00.00;20/01/2009 00.00.00;21/01/2009 00.00.00;1;1;2009;1;1;2009;1;1;2009;1;1
8798;13/01/2009 00.00.00;14/01/2009 00.00.00;15/01/2009 00.00.00;;20/01/2009 00.00.00;20/01/2009 00.00.00;21/01/2009 00.00.00;12;12;2009;1;1;2009;1;1;2009;1;1
